agent,source_bucket,archived_path
agent-creation-guidance,5-misc-personal,agents.archive/5-misc-personal/agent-creation-guidance.md
ai-music-video-creator,3-contains-studio,agents.archive/3-contains-studio/ai-music-video-creator.md
ai-workflow-manager,5-misc-personal,agents.archive/5-misc-personal/ai-workflow-manager.md
ai-xeo,5-misc-personal,agents.archive/5-misc-personal/ai-xeo.md
analytics-reporter,3-contains-studio,agents.archive/3-contains-studio/analytics-reporter.md
api-specialist,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/api-specialist.md
api-tester,3-contains-studio,agents.archive/3-contains-studio/api-tester.md
app-store-optimizer,3-contains-studio,agents.archive/3-contains-studio/app-store-optimizer.md
avatararts-organizer,5-misc-personal,agents.archive/5-misc-personal/avatararts-organizer.md
bots,2-personal-tooled,agents.archive/2-personal-tooled/bots.md
brand-guardian,3-contains-studio,agents.archive/3-contains-studio/brand-guardian.md
capability-atlas,2-personal-tooled,agents.archive/2-personal-tooled/capability-atlas.md
code-review,2-personal-tooled,agents.archive/2-personal-tooled/code-review.md
content-consolidator,5-misc-personal,agents.archive/5-misc-personal/content-consolidator.md
content-creator,3-contains-studio,agents.archive/3-contains-studio/content-creator.md
content-organizer,3-contains-studio,agents.archive/3-contains-studio/content-organizer.md
context-handoff-compiler,2-personal-tooled,agents.archive/2-personal-tooled/context-handoff-compiler.md
context-management,5-misc-personal,agents.archive/5-misc-personal/context-management.md
database-specialist,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/database-specialist.md
devops-engineer,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/devops-engineer.md
documentation-management,2-personal-tooled,agents.archive/2-personal-tooled/documentation-management.md
documentation-manager,5-misc-personal,agents.archive/5-misc-personal/documentation-manager.md
ecosystem-analyzer,5-misc-personal,agents.archive/5-misc-personal/ecosystem-analyzer.md
ecosystem-learning,5-misc-personal,agents.archive/5-misc-personal/ecosystem-learning.md
ecosystem-synergy,5-misc-personal,agents.archive/5-misc-personal/ecosystem-synergy.md
experiment-tracker,3-contains-studio,agents.archive/3-contains-studio/experiment-tracker.md
feedback-synthesizer,3-contains-studio,agents.archive/3-contains-studio/feedback-synthesizer.md
filesystem-inventory,5-misc-personal,agents.archive/5-misc-personal/filesystem-inventory.md
finance-tracker,3-contains-studio,agents.archive/3-contains-studio/finance-tracker.md
frontend-architect,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/frontend-architect.md
growth-hacker,3-contains-studio,agents.archive/3-contains-studio/growth-hacker.md
ice-tracker-assistant,5-misc-personal,agents.archive/5-misc-personal/ice-tracker-assistant.md
infrastructure-maintainer,3-contains-studio,agents.archive/3-contains-studio/infrastructure-maintainer.md
instagram-curator,3-contains-studio,agents.archive/3-contains-studio/instagram-curator.md
integrated-evolution,5-misc-personal,agents.archive/5-misc-personal/integrated-evolution.md
javascript-expert,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/javascript-expert.md
joker,3-contains-studio,agents.archive/3-contains-studio/joker.md
knowledge-automation-strategist,3-contains-studio,agents.archive/3-contains-studio/knowledge-automation-strategist.md
legal-compliance-checker,3-contains-studio,agents.archive/3-contains-studio/legal-compliance-checker.md
mobile-app-builder,3-contains-studio,agents.archive/3-contains-studio/mobile-app-builder.md
notebooklm-enhancement-advisor,2-personal-tooled,agents.archive/2-personal-tooled/notebooklm-enhancement-advisor.md
path-list-analyzer,5-misc-personal,agents.archive/5-misc-personal/path-list-analyzer.md
performance-benchmarker,3-contains-studio,agents.archive/3-contains-studio/performance-benchmarker.md
performance-engineer,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/performance-engineer.md
project-launch-manager,3-contains-studio,agents.archive/3-contains-studio/project-launch-manager.md
project-shipper,3-contains-studio,agents.archive/3-contains-studio/project-shipper.md
python-expert,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/python-expert.md
reddit-community-builder,3-contains-studio,agents.archive/3-contains-studio/reddit-community-builder.md
revenue-optimizer,5-misc-personal,agents.archive/5-misc-personal/revenue-optimizer.md
rule-definition,2-personal-tooled,agents.archive/2-personal-tooled/rule-definition.md
security-engineer,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/security-engineer.md
self-evolution,5-misc-personal,agents.archive/5-misc-personal/self-evolution.md
seo-keyword-analyst,5-misc-personal,agents.archive/5-misc-personal/seo-keyword-analyst.md
sprint-prioritizer,3-contains-studio,agents.archive/3-contains-studio/sprint-prioritizer.md
studio-producer,3-contains-studio,agents.archive/3-contains-studio/studio-producer.md
support-responder,3-contains-studio,agents.archive/3-contains-studio/support-responder.md
system-analysis,2-personal-tooled,agents.archive/2-personal-tooled/system-analysis.md
system-analyzer,3-contains-studio,agents.archive/3-contains-studio/system-analyzer.md
system-architect,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/system-architect.md
task-management,5-misc-personal,agents.archive/5-misc-personal/task-management.md
technical-writer,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/technical-writer.md
test-results-analyzer,3-contains-studio,agents.archive/3-contains-studio/test-results-analyzer.md
testing-specialist,1-eng-specialist-pack,agents.archive/1-eng-specialist-pack/testing-specialist.md
tiktok-strategist,3-contains-studio,agents.archive/3-contains-studio/tiktok-strategist.md
tool-evaluator,3-contains-studio,agents.archive/3-contains-studio/tool-evaluator.md
tree-explorer,5-misc-personal,agents.archive/5-misc-personal/tree-explorer.md
trend-researcher,3-contains-studio,agents.archive/3-contains-studio/trend-researcher.md
twitter-engager,3-contains-studio,agents.archive/3-contains-studio/twitter-engager.md
ui-designer,3-contains-studio,agents.archive/3-contains-studio/ui-designer.md
ux-researcher,3-contains-studio,agents.archive/3-contains-studio/ux-researcher.md
visual-storyteller,3-contains-studio,agents.archive/3-contains-studio/visual-storyteller.md
whimsy-injector,3-contains-studio,agents.archive/3-contains-studio/whimsy-injector.md
workflow-optimizer,3-contains-studio,agents.archive/3-contains-studio/workflow-optimizer.md
workflow-orchestrator,2-personal-tooled,agents.archive/2-personal-tooled/workflow-orchestrator.md
xeo-strategist,5-misc-personal,agents.archive/5-misc-personal/xeo-strategist.md
